POP,CXPB,MUTPB,MUTATION RATE,BEST_MODULARITY,BEST_GEN
50,0.8,0.4,0.05,0.4197896121,918
50,0.8,0.5,0.08,0.4197896121,681
50,0.8,0.5,0.08,0.4197896121,684
50,0.8,0.5,0.08,0.4197896121,936
50,0.8,0.5,0.08,0.4197896121,538
50,0.8,0.5,0.08,0.4197896121,1223
50,0.8,0.5,0.08,0.4197896121,439
50,0.8,0.5,0.08,0.4197896121,352
50,0.8,0.5,0.1,0.4197896121,844
50,0.8,0.5,0.1,0.4197896121,711
50,0.8,0.5,0.1,0.4197896121,665
50,0.8,0.5,0.1,0.4197896121,729
50,0.8,0.5,0.1,0.4197896121,384
40,0.8,0.5,0.08,0.4197896121,222
40,0.8,0.5,0.08,0.4197896121,1071
60,0.8,0.5,0.08,0.4197896121,822
60,0.8,0.5,0.08,0.4197896121,669
60,0.8,0.5,0.08,0.4197896121,545
60,0.8,0.5,0.08,0.4197896121,563
60,0.8,0.5,0.08,0.4197896121,299
60,0.8,0.5,0.08,0.4197896121,282
50,0.8,0.5,0.1,0.4188034188,420
60,0.8,0.5,0.08,0.4188034188,249
50,0.8,0.4,0.05,0.4174063116,487
50,0.8,0.5,0.08,0.4174063116,671
50,0.8,0.5,0.1,0.4174063116,852
50,0.8,0.5,0.1,0.4174063116,738
60,0.8,0.5,0.08,0.4174063116,674
60,0.8,0.5,0.08,0.4174063116,432
50,0.8,0.5,0.1,0.4172419461,596
50,0.8,0.5,0.1,0.4172419461,510
60,0.8,0.5,0.08,0.4158448389,363
50,0.8,0.4,0.05,0.4155982906,407
50,0.8,0.5,0.1,0.4155982906,221
40,0.8,0.5,0.08,0.4155982906,469
60,0.8,0.5,0.08,0.4155982906,273
60,0.8,0.5,0.08,0.4155982906,663
60,0.8,0.5,0.08,0.4155982906,719
50,0.8,0.4,0.05,0.415105194,399
60,0.8,0.5,0.08,0.4106673241,546
50,0.8,0.4,0.05,0.4095167653,675
50,0.8,0.4,0.05,0.4083662064,556
50,0.8,0.5,0.02,0.4062294543,382
50,0.8,0.4,0.05,0.405982906,1264
50,0.7,0.4,0.05,0.405982906,532
50,0.8,0.5,0.08,0.405982906,390
50,0.8,0.5,0.08,0.405982906,341
50,0.8,0.5,0.08,0.405982906,1032
50,0.8,0.5,0.08,0.405982906,550
60,0.8,0.5,0.08,0.405982906,668
50,0.8,0.5,0.1,0.4057363577,391
60,0.8,0.5,0.08,0.4057363577,232
50,0.8,0.4,0.05,0.405243261,508
50,0.8,0.5,0.08,0.405243261,477
50,0.8,0.5,0.08,0.405243261,479
50,0.8,0.5,0.08,0.405243261,218
50,0.8,0.5,0.08,0.405243261,330
50,0.8,0.5,0.1,0.405243261,420
50,0.8,0.5,0.1,0.405243261,486
40,0.8,0.5,0.08,0.405243261,397
40,0.8,0.5,0.08,0.405243261,599
40,0.8,0.5,0.08,0.405243261,862
40,0.8,0.5,0.08,0.405243261,382
40,0.8,0.5,0.08,0.405243261,672
40,0.8,0.5,0.08,0.405243261,797
60,0.8,0.5,0.08,0.405243261,297
60,0.8,0.5,0.08,0.405243261,255
60,0.8,0.5,0.08,0.405243261,413
40,0.8,0.5,0.08,0.4042570677,706
